disease_uri,disease_uriLabel,HealthSpecialtyLabel,TreatmentDrugsLabel,CauseLabel,SymptonsLabel
http://www.wikidata.org/entity/Q170102,scrapie,neurology,,,
http://www.wikidata.org/entity/Q170102,scrapie,veterinary medicine,,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,diclofenac,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,leflunomide,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,alpha-linolenic acid,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,adalimumab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,buprenorphine,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,celecoxib,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,gabapentin,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,duloxetine,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,pregabalin,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,rituximab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,Certolizumab pegol,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,golimumab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,meloxicam,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,infliximab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,Etanercept,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,methylprednisolone,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,sulfasalazine,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,Ustekinumab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,hydroxychloroquine,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,methotrexate,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,prednisone,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,tocilizumab,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,salsalate,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,Abatacept,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,meclofenamic acid,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,apremilast,,
http://www.wikidata.org/entity/Q170990,arthritis,rheumatology,Tofacitinib,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,doxorubicin,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,hydroxyurea,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,cyclophosphamide,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,cisplatin,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,altretamine,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,carboplatin,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,chlorambucilddv,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,ifosfamide,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,topotecan,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,docetaxel,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,vinorelbine,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,paclitaxel,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,leuprolide,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,melphalan,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,belotecan,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,olaparib,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,uracil mustard,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,Niraparib,,
http://www.wikidata.org/entity/Q172341,ovarian cancer,oncology,chromic phosphate p-32,,
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,calcium carbonate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,lansoprazole,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,pantoprazole,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,magnesium hydroxide,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycopyrrolate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Hyoscyamine,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Magaldrate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,omeprazole,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,esomeprazole,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycine,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,propantheline,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,aluminium carbonate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Calcium Gluceptate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,clidinium,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,hexocyclium,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,carbonate ion,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,diphemanil,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,dihydroxyaluminum sodium carbonate,non-steroidal anti-inflammatory drug,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,calcium carbonate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,lansoprazole,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,pantoprazole,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,magnesium hydroxide,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycopyrrolate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Hyoscyamine,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Magaldrate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,omeprazole,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,esomeprazole,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycine,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,propantheline,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,aluminium carbonate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Calcium Gluceptate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,clidinium,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,hexocyclium,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,carbonate ion,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,diphemanil,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,dihydroxyaluminum sodium carbonate,Helicobacter pylori infectious disease,heartburn
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,calcium carbonate,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,lansoprazole,non-steroidal anti-inflammatory drug,melena
