medicine_uri,medicine_uriLabel,ConditionsTreatedLabel
http://www.wikidata.org/entity/Q410225,ethinamate,insomnia
http://www.wikidata.org/entity/Q410237,clopidogrel,myocardial infarction
http://www.wikidata.org/entity/Q410237,clopidogrel,asthma
http://www.wikidata.org/entity/Q410237,clopidogrel,arteriosclerosis
http://www.wikidata.org/entity/Q410237,clopidogrel,heart disease
http://www.wikidata.org/entity/Q410237,clopidogrel,thrombosis
http://www.wikidata.org/entity/Q410237,clopidogrel,acute coronary syndrome
http://www.wikidata.org/entity/Q410237,clopidogrel,transient cerebral isolation
http://www.wikidata.org/entity/Q410237,clopidogrel,atrial fibrillation
http://www.wikidata.org/entity/Q410237,clopidogrel,coronary artery disease
http://www.wikidata.org/entity/Q410237,clopidogrel,congenital heart disease
http://www.wikidata.org/entity/Q410237,clopidogrel,cerebral infarction
http://www.wikidata.org/entity/Q410237,clopidogrel,carotid artery stenosis
http://www.wikidata.org/entity/Q410237,clopidogrel,unstable angina
http://www.wikidata.org/entity/Q410237,clopidogrel,silent stroke
http://www.wikidata.org/entity/Q410237,clopidogrel,atherosclerosis
http://www.wikidata.org/entity/Q410237,clopidogrel,acute myocardial infarction
http://www.wikidata.org/entity/Q410237,clopidogrel,neurotic disorder
http://www.wikidata.org/entity/Q410237,clopidogrel,congestive heart failure
http://www.wikidata.org/entity/Q410265,sodium picosulfate,
http://www.wikidata.org/entity/Q410273,eslicarbazepine acetate,
http://www.wikidata.org/entity/Q410291,verapamil,myocardial infarction
http://www.wikidata.org/entity/Q410291,verapamil,arterial hypertension
http://www.wikidata.org/entity/Q410291,verapamil,angina pectoris
http://www.wikidata.org/entity/Q410291,verapamil,atrial fibrillation
http://www.wikidata.org/entity/Q410291,verapamil,essential hypertension
http://www.wikidata.org/entity/Q410291,verapamil,supraventricular tachycardia
http://www.wikidata.org/entity/Q410291,verapamil,unstable angina
http://www.wikidata.org/entity/Q410346,lamotrigine,mental disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,epilepsy
http://www.wikidata.org/entity/Q410346,lamotrigine,bipolar disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,migraine disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,anxiety
http://www.wikidata.org/entity/Q410346,lamotrigine,mood disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,post-traumatic stress disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,borderline personality disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,temporal lobe epilepsy
http://www.wikidata.org/entity/Q410346,lamotrigine,trigeminal neuralgia
http://www.wikidata.org/entity/Q410346,lamotrigine,neurological disorder
http://www.wikidata.org/entity/Q410346,lamotrigine,focal epilepsy
http://www.wikidata.org/entity/Q410346,lamotrigine,visual epilepsy
http://www.wikidata.org/entity/Q410352,gabapentin,multiple sclerosis
http://www.wikidata.org/entity/Q410352,gabapentin,epilepsy
http://www.wikidata.org/entity/Q410352,gabapentin,pain
http://www.wikidata.org/entity/Q410352,gabapentin,bipolar disorder
http://www.wikidata.org/entity/Q410352,gabapentin,migraine disorder
http://www.wikidata.org/entity/Q410352,gabapentin,anxiety
http://www.wikidata.org/entity/Q410352,gabapentin,arthritis
http://www.wikidata.org/entity/Q410352,gabapentin,radiculopathy
http://www.wikidata.org/entity/Q410352,gabapentin,herpes zoster
http://www.wikidata.org/entity/Q410352,gabapentin,social phobia
http://www.wikidata.org/entity/Q410352,gabapentin,fibromyalgia
http://www.wikidata.org/entity/Q410352,gabapentin,essential tremor
http://www.wikidata.org/entity/Q410352,gabapentin,restless legs syndrome
http://www.wikidata.org/entity/Q410352,gabapentin,peripheral neuropathy
http://www.wikidata.org/entity/Q410352,gabapentin,complex regional pain syndrome
http://www.wikidata.org/entity/Q410352,gabapentin,diabetic nephropathy
http://www.wikidata.org/entity/Q410352,gabapentin,trigeminal neuralgia
http://www.wikidata.org/entity/Q410352,gabapentin,insomnia
http://www.wikidata.org/entity/Q410352,gabapentin,substance abuse
http://www.wikidata.org/entity/Q410352,gabapentin,neurological disorder
http://www.wikidata.org/entity/Q410352,gabapentin,focal epilepsy
http://www.wikidata.org/entity/Q410352,gabapentin,sleep-wake disorder
http://www.wikidata.org/entity/Q410352,gabapentin,osteoarthritis susceptibility 1
http://www.wikidata.org/entity/Q410358,salbutamol,pneumonia
http://www.wikidata.org/entity/Q410358,salbutamol,asthma
http://www.wikidata.org/entity/Q410358,salbutamol,respiratory disease
http://www.wikidata.org/entity/Q410358,salbutamol,obstructive lung disease
http://www.wikidata.org/entity/Q410374,papaverine,angina pectoris
http://www.wikidata.org/entity/Q410374,papaverine,erectile dysfunction
http://www.wikidata.org/entity/Q410374,papaverine,heart arrhythmia
http://www.wikidata.org/entity/Q410374,papaverine,pulmonary embolism
http://www.wikidata.org/entity/Q410374,papaverine,Raynaud disease
http://www.wikidata.org/entity/Q410374,papaverine,ischaemic heart disease
http://www.wikidata.org/entity/Q410374,papaverine,brain ischemia
http://www.wikidata.org/entity/Q410374,papaverine,colic
http://www.wikidata.org/entity/Q410374,papaverine,arterial occlusive disease
http://www.wikidata.org/entity/Q410400,phenytoin,epilepsy
http://www.wikidata.org/entity/Q410400,phenytoin,temporal lobe epilepsy
http://www.wikidata.org/entity/Q410400,phenytoin,epidermolysis bullosa
http://www.wikidata.org/entity/Q410400,phenytoin,tonic–clonic seizure
http://www.wikidata.org/entity/Q410412,carbamazepin,schizophrenia
http://www.wikidata.org/entity/Q410412,carbamazepin,epilepsy
http://www.wikidata.org/entity/Q410412,carbamazepin,bipolar disorder
http://www.wikidata.org/entity/Q410412,carbamazepin,mood disorder
http://www.wikidata.org/entity/Q410412,carbamazepin,post-traumatic stress disorder
http://www.wikidata.org/entity/Q410412,carbamazepin,temporal lobe epilepsy
http://www.wikidata.org/entity/Q410412,carbamazepin,restless legs syndrome
http://www.wikidata.org/entity/Q410412,carbamazepin,trigeminal neuralgia
http://www.wikidata.org/entity/Q410412,carbamazepin,tonic–clonic seizure
http://www.wikidata.org/entity/Q410412,carbamazepin,complex partial seizure
http://www.wikidata.org/entity/Q410441,modafinil,multiple sclerosis
http://www.wikidata.org/entity/Q410441,modafinil,fatigue
http://www.wikidata.org/entity/Q410441,modafinil,attention deficit hyperactivity disorder
http://www.wikidata.org/entity/Q410441,modafinil,narcolepsy
http://www.wikidata.org/entity/Q410441,modafinil,hypersomnia
http://www.wikidata.org/entity/Q410492,lercanidipine,
http://www.wikidata.org/entity/Q410513,megestrol,breast cancer
http://www.wikidata.org/entity/Q410513,megestrol,anorexia
http://www.wikidata.org/entity/Q410513,megestrol,cachexia
http://www.wikidata.org/entity/Q180623,acetylcholine,
http://www.wikidata.org/entity/Q180912,melatonin,
http://www.wikidata.org/entity/Q180983,cytarabine,leukemia
http://www.wikidata.org/entity/Q180983,cytarabine,lymphoma
http://www.wikidata.org/entity/Q180983,cytarabine,acute myeloid leukemia
http://www.wikidata.org/entity/Q180983,cytarabine,mantle cell lymphoma
http://www.wikidata.org/entity/Q180983,cytarabine,meningioma
http://www.wikidata.org/entity/Q180983,cytarabine,myelodysplastic syndrome
http://www.wikidata.org/entity/Q180983,cytarabine,acute leukemia
http://www.wikidata.org/entity/Q180983,cytarabine,non-Hodgkin lymphoma
http://www.wikidata.org/entity/Q180983,cytarabine,diffuse large B-cell lymphoma
http://www.wikidata.org/entity/Q181003,L-Tryptophan,
http://www.wikidata.org/entity/Q181354,biotin,inherited metabolic disorder
http://www.wikidata.org/entity/Q181619,L-Glutamine,short bowel syndrome
http://www.wikidata.org/entity/Q182040,aspartame,
http://www.wikidata.org/entity/Q183011,arginine vasopressin,diabetes insipidus
http://www.wikidata.org/entity/Q183011,arginine vasopressin,ventricular fibrillation
http://www.wikidata.org/entity/Q183011,arginine vasopressin,hematochezia
http://www.wikidata.org/entity/Q183011,arginine vasopressin,postoperative complications
http://www.wikidata.org/entity/Q183290,L-serine,
http://www.wikidata.org/entity/Q183309,guanidine,
http://www.wikidata.org/entity/Q183554,fosfomycin,urinary tract infection
http://www.wikidata.org/entity/Q183554,fosfomycin,cystitis
http://www.wikidata.org/entity/Q183554,fosfomycin,Escherichia coli infectious disease
http://www.wikidata.org/entity/Q183554,fosfomycin,urinary tract infection
http://www.wikidata.org/entity/Q184630,potassium chloride,hypokalemia
http://www.wikidata.org/entity/Q185331,rocuronium,
http://www.wikidata.org/entity/Q185690,corticotropin,multiple sclerosis
http://www.wikidata.org/entity/Q185690,corticotropin,infantile epileptic encephalopathy
http://www.wikidata.org/entity/Q185916,fludarabine phosphate,
http://www.wikidata.org/entity/Q186093,(E)-phytonadione,
http://www.wikidata.org/entity/Q186127,dactinomycin,melanoma
http://www.wikidata.org/entity/Q186127,dactinomycin,testicular cancer
http://www.wikidata.org/entity/Q186127,dactinomycin,Kaposi's sarcoma
http://www.wikidata.org/entity/Q186127,dactinomycin,gestational trophoblastic neoplasm
http://www.wikidata.org/entity/Q186127,dactinomycin,neuroblastoma
http://www.wikidata.org/entity/Q186127,dactinomycin,choriocarcinoma
http://www.wikidata.org/entity/Q186127,dactinomycin,Ewing's sarcoma
http://www.wikidata.org/entity/Q186127,dactinomycin,uterine cancer
