subject,predicate,object
" ""encephalitis"" ",Cause," ""rabies"" "
" ""bacterial vaginosis"" ",Cause," ""Gardnerella vaginalis"" "
" ""obsolete adenovirus infectious disease"" ",Cause," ""Adenoviridae"" "
" ""spinal stenosis"" ",Cause," ""spondylosis"" "
" ""endemic goiter"" ",Cause," ""iodine deficiency"" "
" ""iodine hypothyroidism"" ",Cause," ""iodine deficiency"" "
" ""dengue fever"" ",Cause," ""Dengue virus"" "
" ""strongyloidiasis"" ",Cause," ""Strongyloides stercoralis"" "
" ""cystoisosporiasis"" ",Cause," ""Isospora hominis"" "
" ""mucocutaneous leishmaniasis"" ",Cause," ""Leishmania braziliensis"" "
" ""Carcinoma ex-pleomorphic adenoma"" ",Cause," ""pleomorphic adenoma"" "
" ""spinal stenosis"" ",Cause," ""rheumatoid arthritis"" "
" ""asphyxia neonatorum"" ",Cause," ""congenital heart disease"" "
" ""gluten-related disorder"" ",Cause," ""gluten"" "
" ""postcholecystectomy syndrome"" ",Cause," ""cholecystectomy"" "
" ""cataract"" ",Cause," ""ultraviolet"" "
" ""aspergilloma"" ",Cause," ""Aspergillus"" "
" ""cystoisosporiasis"" ",Cause," ""Isospora belli"" "
" ""spinal stenosis"" ",Cause," ""achondroplasia"" "
" ""Kaposi's sarcoma"" ",Cause," ""carcinogenesis"" "
" ""pertussis"" ",Cause," ""Bordetella pertussis"" "
" ""dirofilariasis"" ",Cause," ""Dirofilaria tenuis"" "
" ""chancroid"" ",Cause," ""Haemophilus ducreyi"" "
" ""Contrast-induced nephropathy"" ",Cause," ""contrast agent"" "
" ""hepatitis"" ",Cause," ""intoxication"" "
" ""Toluene toxicity"" ",Cause," ""intoxication"" "
" ""caffeinism"" ",Cause," ""intoxication"" "
" ""conducted energy weapon injury"" ",Cause," ""electroshock weapon"" "
" ""Omsk hemorrhagic fever"" ",Cause," ""Omsk hemorrhagic fever virus"" "
" ""post-cardiac arrest syndrome"" ",Cause," ""cardiac arrest"" "
" ""median rhomboid glossitis"" ",Cause," ""Candida albicans"" "
" ""Tokak"" ",Cause," ""starvation"" "
" ""trichostrongyloidosis"" ",Cause," ""Trichostrongylus"" "
" ""fruit allergy"" ",Cause," ""fruit"" "
" ""soil-transmitted helminthiasis"" ",Cause," ""geohelminth"" "
" ""liver cirrhosis"" ",Cause," ""hepatitis"" "
" ""chromosomal duplication syndrome"" ",Cause," ""gene duplication"" "
" ""Clostridium difficile colitis"" ",Cause," ""Clostridium difficile"" "
" ""spinal stenosis"" ",Cause," ""scoliosis"" "
" ""yellow fever"" ",Cause," ""yellow fever virus"" "
" ""peptic ulcer disease"" ",Cause," ""non-steroidal anti-inflammatory drug"" "
" ""pasteurellosis"" ",Cause," ""Pasteurella"" "
