subject,predicate,object
" ""measles"" ",Symptom," ""Koplik's spots"" "
" ""myotonic dystrophy"" ",Symptom," ""sterility"" "
" ""Chagas disease"" ",Symptom," ""Chagoma"" "
" ""Bálint's syndrome"" ",Symptom," ""optic ataxia"" "
" ""Kawasaki disease"" ",Symptom," ""strawberry tongue"" "
" ""Bart-Pumphrey syndrome"" ",Symptom," ""Knuckle pads"" "
" ""aphasia"" ",Symptom," ""mutism"" "
" ""catatonic schizophrenia"" ",Symptom," ""mutism"" "
" ""Duchenne muscular dystrophy"" ",Symptom," ""muscular atrophy"" "
" ""limb-girdle muscular dystrophy"" ",Symptom," ""muscular atrophy"" "
" ""MORM syndrome"" ",Symptom," ""fundus dystrophy"" "
" ""NGLY1-deficiency"" ",Symptom," ""Reduced factor XI activity"" "
" ""diphtheria"" ",Symptom," ""tonsillitis"" "
" ""cytomegaloviral disease"" ",Symptom," ""tonsillitis"" "
" ""mumps"" ",Symptom," ""pancreatitis"" "
" ""late dumping syndrome"" ",Symptom," ""convulsion"" "
" ""brain cancer"" ",Symptom," ""convulsion"" "
" ""Cerebral venous sinus thrombosis"" ",Symptom," ""convulsion"" "
" ""Korsakoff's syndrome"" ",Symptom," ""confabulation"" "
" ""NGLY1-deficiency"" ",Symptom," ""Alacrima"" "
" ""rabies"" ",Symptom," ""hyperactivity"" "
" ""Felty's syndrome"" ",Symptom," ""rheumatoid arthritis"" "
" ""NGLY1-deficiency"" ",Symptom," ""oculomotor apraxia"" "
" ""Bálint's syndrome"" ",Symptom," ""oculomotor apraxia"" "
" ""Timothy syndrome"" ",Symptom," ""congenital heart disease"" "
" ""Timothy syndrome"" ",Symptom," ""syncope"" "
" ""primary amebic meningoencephalitis"" ",Symptom," ""syncope"" "
" ""heart disease"" ",Symptom," ""syncope"" "
" ""late dumping syndrome"" ",Symptom," ""syncope"" "
" ""ventricular fibrillation"" ",Symptom," ""syncope"" "
" ""brain cancer"" ",Symptom," ""syncope"" "
" ""aortic valve stenosis"" ",Symptom," ""syncope"" "
" ""NGLY1-deficiency"" ",Symptom," ""microcephaly"" "
" ""cytomegaloviral disease"" ",Symptom," ""microcephaly"" "
" ""bipolar disorder"" ",Symptom," ""mania"" "
" ""Taylor's syndrome"" ",Symptom," ""pelvic pain"" "
" ""NGLY1-deficiency"" ",Symptom," ""Elevetated blood lactate"" "
" ""Chronic Thromboembolic Pulmonary Hypertension"" ",Symptom," ""edema"" "
" ""myocardial infarction"" ",Symptom," ""edema"" "
" ""heart disease"" ",Symptom," ""edema"" "
" ""Wilson disease"" ",Symptom," ""edema"" "
" ""trichinosis"" ",Symptom," ""edema"" "
" ""loiasis"" ",Symptom," ""edema"" "
" ""Wuchereria bancrofti filariasis"" ",Symptom," ""edema"" "
" ""Lassa fever"" ",Symptom," ""edema"" "
" ""leukemia"" ",Symptom," ""edema"" "
" ""hypertrophic cardiomyopathy"" ",Symptom," ""edema"" "
" ""brain cancer"" ",Symptom," ""back pain"" "
" ""neuroendocrine tumor"" ",Symptom," ""back pain"" "
" ""African trypanosomiasis"" ",Symptom," ""primary affect"" "
" ""osteitis fibrosa cystica"" ",Symptom," ""Brown tumor"" "
" ""carpal tunnel syndrome"" ",Symptom," ""wrist pain"" "
" ""rabies"" ",Symptom," ""cardiac arrest"" "
" ""vestibular neuronitis"" ",Symptom," ""nausea"" "
" ""salmonellosis"" ",Symptom," ""nausea"" "
" ""hymenolepiasis"" ",Symptom," ""nausea"" "
" ""ehrlichiosis"" ",Symptom," ""nausea"" "
" ""primary amebic meningoencephalitis"" ",Symptom," ""nausea"" "
" ""dracunculiasis"" ",Symptom," ""nausea"" "
" ""granulomatous amebic encephalitis"" ",Symptom," ""nausea"" "
" ""norovirus infection"" ",Symptom," ""nausea"" "
" ""hepatitis B"" ",Symptom," ""nausea"" "
" ""fasciolosis"" ",Symptom," ""nausea"" "
" ""ornithosis"" ",Symptom," ""nausea"" "
" ""myocardial infarction"" ",Symptom," ""nausea"" "
" ""tick-borne encephalitis"" ",Symptom," ""nausea"" "
" ""dengue fever"" ",Symptom," ""nausea"" "
" ""alcoholic liver disease"" ",Symptom," ""nausea"" "
" ""Fabry disease"" ",Symptom," ""nausea"" "
" ""gastroenteritis"" ",Symptom," ""nausea"" "
" ""babesiosis"" ",Symptom," ""nausea"" "
" ""Postural orthostatic tachycardia syndrome"" ",Symptom," ""nausea"" "
" ""diverticulitis"" ",Symptom," ""nausea"" "
" ""chikungunya"" ",Symptom," ""nausea"" "
" ""cryptosporidiosis"" ",Symptom," ""nausea"" "
" ""Clostridium difficile colitis"" ",Symptom," ""nausea"" "
" ""obsolete adenovirus infectious disease"" ",Symptom," ""nausea"" "
" ""meningitis"" ",Symptom," ""nausea"" "
" ""lactose intolerance"" ",Symptom," ""nausea"" "
" ""Taeniasis saginata"" ",Symptom," ""nausea"" "
" ""hepatitis C"" ",Symptom," ""nausea"" "
" ""ischaemic heart disease"" ",Symptom," ""nausea"" "
" ""Behçet's disease"" ",Symptom," ""nausea"" "
" ""Lassa fever"" ",Symptom," ""nausea"" "
" ""giardiasis"" ",Symptom," ""nausea"" "
" ""Q fever"" ",Symptom," ""nausea"" "
" ""vitamin B12 deficiency"" ",Symptom," ""cognitive dysfunction"" "
" ""cognitive disorder"" ",Symptom," ""cognitive dysfunction"" "
" ""ornithosis"" ",Symptom," ""Episcleral layer"" "
" ""post-traumatic stress disorder"" ",Symptom," ""anxiety"" "
" ""Toluene toxicity"" ",Symptom," ""anxiety"" "
" ""obsessive-compulsive disorder"" ",Symptom," ""anxiety"" "
" ""fibromyalgia"" ",Symptom," ""anxiety"" "
" ""NGLY1-deficiency"" ",Symptom," ""Reduced factor IX activity"" "
" ""cystic fibrosis"" ",Symptom," ""hepatitis"" "
" ""Lassa fever"" ",Symptom," ""hepatitis"" "
" ""Behçet's disease"" ",Symptom," ""pathergy"" "
" ""dracunculiasis"" ",Symptom," ""urticarial allergic eruption"" "
" ""Brugia malayi filariasis"" ",Symptom," ""lymphadenitis"" "
" ""onchocerciasis"" ",Symptom," ""lymphadenitis"" "
" ""diphtheria"" ",Symptom," ""sore throat"" "
" ""Marburg virus disease"" ",Symptom," ""sore throat"" "
" ""ornithosis"" ",Symptom," ""sore throat"" "
" ""chronic fatigue syndrome"" ",Symptom," ""sore throat"" "
" ""obsolete adenovirus infectious disease"" ",Symptom," ""sore throat"" "
" ""monkeypox"" ",Symptom," ""sore throat"" "
" ""rubella"" ",Symptom," ""sore throat"" "
" ""Hand Yangming large intestine through disease"" ",Symptom," ""sore throat"" "
" ""Lassa fever"" ",Symptom," ""sore throat"" "
" ""Still's disease"" ",Symptom," ""sore throat"" "
" ""hymenolepiasis"" ",Symptom," ""anorexia"" "
" ""appendicitis"" ",Symptom," ""anorexia"" "
" ""hepatitis B"" ",Symptom," ""anorexia"" "
" ""dengue fever"" ",Symptom," ""anorexia"" "
" ""Crohn's disease"" ",Symptom," ""anorexia"" "
" ""Addison's disease"" ",Symptom," ""anorexia"" "
" ""babesiosis"" ",Symptom," ""anorexia"" "
" ""measles"" ",Symptom," ""anorexia"" "
" ""pancreatic cancer"" ",Symptom," ""anorexia"" "
" ""hepatitis"" ",Symptom," ""anorexia"" "
" ""acute lymphocytic leukemia"" ",Symptom," ""anorexia"" "
" ""acute myeloid leukemia"" ",Symptom," ""anorexia"" "
" ""hepatitis C"" ",Symptom," ""anorexia"" "
" ""mercury poisoning"" ",Symptom," ""anorexia"" "
" ""lung cancer"" ",Symptom," ""anorexia"" "
" ""yellow fever"" ",Symptom," ""anorexia"" "
" ""brucellosis"" ",Symptom," ""anorexia"" "
" ""giardiasis"" ",Symptom," ""anorexia"" "
" ""microcytic anemia"" ",Symptom," ""microcytosis"" "
" ""Waldenström's macroglobulinemia"" ",Symptom," ""macroglobulinemia"" "
" ""NGLY1-deficiency"" ",Symptom," ""High myoinositol in brain by MRS"" "
" ""trichostrongyloidosis"" ",Symptom," ""eosinophilia"" "
" ""trichuriasis"" ",Symptom," ""eosinophilia"" "
" ""trichinosis"" ",Symptom," ""eosinophilia"" "
" ""NGLY1-deficiency"" ",Symptom," ""scoliosis"" "
" ""Nevus comedonicus syndrome"" ",Symptom," ""scoliosis"" "
" ""Charcot–Marie–Tooth disease"" ",Symptom," ""scoliosis"" "
" ""Marfan syndrome"" ",Symptom," ""scoliosis"" "
" ""migraine with aura"" ",Symptom," ""migraine aura"" "
