subject,predicate,object
calcifediol,use,metabolic bone disease
calcifediol,use,kidney disease
calcifediol,use,vitamin D deficiency
calcifediol,use,secondary hyperparathyroidism of renal origin
armodafinil,use,narcolepsy
armodafinil,use,hypersomnia
armodafinil,use,multiple sclerosis
armodafinil,use,sleep-wake disorder
Polycarbophil calcium,use,irritable bowel syndrome
Polycarbophil calcium,use,constipation
nevirapine,use,HIV medications
nevirapine,use,HIV infection
nevirapine,use,human immunodeficiency virus infectious disease
nevirapine,use,HIV/AIDS
Tyloxapol,use,pulmonary immaturity
deferasirox,use,myelodysplastic syndrome
deferasirox,use,acute myeloid leukemia
deferasirox,use,thalassemia
deferasirox,use,iron
deferasirox,use,erythroblastopenia
deferasirox,use,beta-thalassemia HBB/LCRB
deferasirox,use,rare hereditary hemochromatosis
deferasirox,use,anemia
deferasirox,use,myelofibrosis
deferasirox,use,blood transfusions
deferasirox,use,HFE hereditary haemochromatosis
deferasirox,use,iron metabolism disease
deferasirox,use,congenital hypoplastic anemia
deferasirox,use,body
physostigmine,use,glaucoma
azelaic acid,use,rosacea
azelaic acid,use,acne
Spinosad,use,scalp
Spinosad,use,lice infestation
Spinosad,use,head lice
enflurane,use,status asthmaticus
methyltestosterone,use,breast cancer
methyltestosterone,use,erectile dysfunction
methyltestosterone,use,hypogonadism
cinoxacin,use,urinary tract infection
naproxen,use,rheumatoid arthritis
naproxen,use,medial epicondylitis
naproxen,use,gout attack
naproxen,use,Warning section
naproxen,use,ankylosing spondylitis
naproxen,use,juvenile rheumatoid arthritis
naproxen,use,osteoarthritis susceptibility 1
naproxen,use,hyperthermia
naproxen,use,bursitis
naproxen,use,enthesopathy
naproxen,use,fibromyalgia
naproxen,use,inflammation
naproxen,use,gout
naproxen,use,pain
naproxen,use,migraine disorder
naproxen,use,osteoarthritis
digitoxin,use,atrial fibrillation
digitoxin,use,supraventricular tachycardia
digitoxin,use,congestive heart failure
benazepril,use,arterial hypertension
benazepril,use,hydrochlorothiazide
benazepril,use,congestive heart failure
benazepril,use,ACE inhibitor
olanzapine,use,fluoxetine
olanzapine,use,anxiety
olanzapine,use,schizophrenia
olanzapine,use,anxiety disorder
olanzapine,use,psychosis
olanzapine,use,obsessive-compulsive disorder
olanzapine,use,dementia
olanzapine,use,mood disorder
olanzapine,use,serotonin inhibitor
olanzapine,use,schizoaffective disorder
olanzapine,use,mental disorder
olanzapine,use,insomnia
