subject,predicate,object
" ""calcifediol"" ",side_effect," ""calcifediol"" "
" ""nevirapine"" ",side_effect," ""nausea"" "
" ""nevirapine"" ",side_effect," ""vomiting"" "
" ""nevirapine"" ",side_effect," ""diarrhea"" "
" ""nevirapine"" ",side_effect," ""tiredness"" "
" ""deferasirox"" ",side_effect," ""nausea"" "
" ""deferasirox"" ",side_effect," ""vomiting"" "
" ""deferasirox"" ",side_effect," ""diarrhea"" "
" ""deferasirox"" ",side_effect," ""dizziness"" "
" ""azelaic acid"" ",side_effect," ""itching"" "
" ""azelaic acid"" ",side_effect," ""treatment"" "
" ""azelaic acid"" ",side_effect," ""burning"" "
" ""Spinosad"" ",side_effect," ""skin or eye irritation/redness"" "
" ""naproxen"" ",side_effect," ""nausea"" "
" ""naproxen"" ",side_effect," ""heartburn"" "
" ""naproxen"" ",side_effect," ""headache"" "
" ""naproxen"" ",side_effect," ""drowsiness"" "
" ""naproxen"" ",side_effect," ""dizziness"" "
" ""benazepril"" ",side_effect," ""light-headedness"" "
" ""benazepril"" ",side_effect," ""headache"" "
" ""benazepril"" ",side_effect," ""drowsiness"" "
" ""benazepril"" ",side_effect," ""dry cough"" "
" ""benazepril"" ",side_effect," ""fatigue"" "
" ""benazepril"" ",side_effect," ""dizziness"" "
" ""benazepril"" ",side_effect," ""blurred vision"" "
" ""olanzapine"" ",side_effect," ""weight gain"" "
" ""olanzapine"" ",side_effect," ""increased appetite"" "
" ""olanzapine"" ",side_effect," ""diarrhea"" "
" ""olanzapine"" ",side_effect," ""drowsiness"" "
" ""olanzapine"" ",side_effect," ""dry mouth"" "
" ""olanzapine"" ",side_effect," ""dizziness"" "
" ""olanzapine"" ",side_effect," ""constipation"" "
" ""olanzapine"" ",side_effect," ""lightheadedness"" "
" ""betaxolol"" ",side_effect," ""headache"" "
" ""betaxolol"" ",side_effect," ""eyelashes"" "
" ""betaxolol"" ",side_effect," ""dizziness"" "
" ""betaxolol"" ",side_effect," ""watery/dry/itchy/red eyes"" "
" ""betaxolol"" ",side_effect," ""temporary stinging"" "
" ""betaxolol"" ",side_effect," ""blurred vision"" "
" ""fosfomycin"" ",side_effect," ""headache"" "
" ""fosfomycin"" ",side_effect," ""dizziness"" "
" ""fosfomycin"" ",side_effect," ""vaginal discomfort"" "
" ""Follitropin Alpha"" ",side_effect," ""headache"
" ""Follitropin Alpha"" ",side_effect," ""breast tenderness/pain"" "
" ""progesterone"" ",side_effect," ""breast tenderness"" "
" ""progesterone"" ",side_effect," ""nausea"" "
" ""progesterone"" ",side_effect," ""headache"" "
" ""progesterone"" ",side_effect," ""irritability"" "
" ""progesterone"" ",side_effect," ""drowsiness"" "
" ""progesterone"" ",side_effect," ""bloating"" "
" ""progesterone"" ",side_effect," ""mood swings"" "
" ""progesterone"" ",side_effect," ""vaginal discomfort"" "
" ""Phendimetrazine"" ",side_effect," ""dizziness"
" ""gemcitabine"" ",side_effect," ""nausea"" "
" ""gemcitabine"" ",side_effect," ""pain/redness"" "
" ""gemcitabine"" ",side_effect," ""mouth sores"" "
" ""gemcitabine"" ",side_effect," ""vomiting"" "
" ""gemcitabine"" ",side_effect," ""diarrhea"" "
" ""gemcitabine"" ",side_effect," ""drowsiness"" "
" ""gemcitabine"" ",side_effect," ""muscle aches"" "
" ""aztreonam"" ",side_effect," ""cough"" "
" ""aztreonam"" ",side_effect," ""headache"" "
" ""aztreonam"" ",side_effect," ""chest discomfort"" "
" ""ospemifene"" ",side_effect," ""sweating"" "
" ""ospemifene"" ",side_effect," ""hot flashes"" "
" ""ospemifene"" ",side_effect," ""vaginal discharge"" "
" ""ospemifene"" ",side_effect," ""muscle spasms"" "
" ""epirubicin"" ",side_effect," ""nausea"" "
" ""epirubicin"" ",side_effect," ""color changes"" "
" ""epirubicin"" ",side_effect," ""abdominal pain"" "
" ""epirubicin"" ",side_effect," ""vomiting"" "
" ""epirubicin"" ",side_effect," ""diarrhea"" "
" ""epirubicin"" ",side_effect," ""skin/nail"" "
" ""epirubicin"" ",side_effect," ""flushing"" "
" ""imipen"" ",side_effect," ""nausea"" "
" ""imipen"" ",side_effect," ""headache"" "
" ""imipen"" ",side_effect," ""vomiting"" "
" ""imipen"" ",side_effect," ""diarrhea"" "
" ""imipen"" ",side_effect," ""redness"" "
" ""imipen"" ",side_effect," ""swelling"" "
" ""imipen"" ",side_effect," ""pain"" "
" ""donepezil"" ",side_effect," ""nausea"" "
" ""donepezil"" ",side_effect," ""vomiting"" "
" ""donepezil"" ",side_effect," ""diarrhea"" "
" ""donepezil"" ",side_effect," ""appetite/weight loss"" "
" ""donepezil"" ",side_effect," ""drowsiness"" "
" ""donepezil"" ",side_effect," ""dizziness"" "
" ""donepezil"" ",side_effect," ""weakness"" "
" ""donepezil"" ",side_effect," ""muscle cramps"" "
" ""ethambutol"" ",side_effect," ""headache"" "
" ""ethambutol"" ",side_effect," ""nausea/vomiting"" "
" ""potassium chloride"" ",side_effect," ""nausea"" "
" ""potassium chloride"" ",side_effect," ""gas"" "
" ""potassium chloride"" ",side_effect," ""vomiting"" "
" ""potassium chloride"" ",side_effect," ""diarrhea"" "
" ""perampanel"" ",side_effect," ""weight gain"" "
" ""perampanel"" ",side_effect," ""nausea"" "
" ""perampanel"" ",side_effect," ""unsteadiness"" "
" ""perampanel"" ",side_effect," ""headache"" "
" ""perampanel"" ",side_effect," ""vomiting"" "
" ""perampanel"" ",side_effect," ""drowsiness"" "
" ""perampanel"" ",side_effect," ""dizziness"" "
" ""perampanel"" ",side_effect," ""weakness"" "
" ""perampanel"" ",side_effect," ""balance"" "
" ""ciclopirox"" ",side_effect," ""redness"" "
" ""ciclopirox"" ",side_effect," ""burning"" "
" ""dexmethylphenidate"" ",side_effect," ""weight loss"" "
" ""dexmethylphenidate"" ",side_effect," ""dizziness"" "
" ""doxylamine"" ",side_effect," ""nausea"" "
" ""doxylamine"" ",side_effect," ""headache"" "
" ""doxylamine"" ",side_effect," ""vomiting"" "
" ""doxylamine"" ",side_effect," ""drowsiness"" "
" ""doxylamine"" ",side_effect," ""dizziness"" "
" ""doxylamine"" ",side_effect," ""blurred vision"" "
" ""goserelin"" ",side_effect," ""vaginal dryness"" "
" ""goserelin"" ",side_effect," ""headache"" "
" ""goserelin"" ",side_effect," ""hot flashes"" "
" ""goserelin"" ",side_effect," ""breast size"" "
" ""goserelin"" ",side_effect," ""dizziness"" "
" ""goserelin"" ",side_effect," ""increased sweating"" "
" ""goserelin"" ",side_effect," ""hair loss"" "
" ""flavoxate"" ",side_effect," ""nausea"" "
" ""flavoxate"" ",side_effect," ""headache"" "
" ""flavoxate"" ",side_effect," ""drowsiness"" "
" ""flavoxate"" ",side_effect," ""dizziness"" "
" ""flavoxate"" ",side_effect," ""nervousness"" "
" ""flavoxate"" ",side_effect," ""blurred vision"" "
" ""febuxostat"" ",side_effect," ""nausea"" "
" ""atenolol"" ",side_effect," ""nausea"" "
" ""atenolol"" ",side_effect," ""diarrhea"" "
" ""atenolol"" ",side_effect," ""tiredness"" "
" ""atenolol"" ",side_effect," ""dizziness"" "
" ""atenolol"" ",side_effect," ""lightheadedness"" "
" ""phenylephrine"" ",side_effect," ""runny nose"" "
" ""phenylephrine"" ",side_effect," ""temporary burning"" "
" ""phenylephrine"" ",side_effect," ""sneezing"" "
" ""Liraglutide"" ",side_effect," ""nausea"" "
" ""Liraglutide"" ",side_effect," ""vomiting"" "
" ""Liraglutide"" ",side_effect," ""constipation"" "
" ""pyrimethamine"" ",side_effect," ""nausea"" "
" ""pyrimethamine"" ",side_effect," ""vomiting"" "
" ""levodopa"" ",side_effect," ""nausea"" "
" ""levodopa"" ",side_effect," ""headache"" "
" ""levodopa"" ",side_effect," ""vomiting"" "
" ""levodopa"" ",side_effect," ""dizziness"" "
" ""Alirocumab"" ",side_effect," ""redness"" "
" ""etoposide"" ",side_effect," ""pain/redness"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""light-headedness"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""headache"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""drowsiness"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""dry cough"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""fatigue"" "
" ""Bisoprolol / Hydrochlorothiazide"" ",side_effect," ""dizziness"" "
